User Study Runtimes;;;;;;;
;Manual Integration;Pattern-based Generation;Speed-Up;Factor;;Times In Decimal;
Expert 1;16:01;03:22;12:39;4,757425743;;16,02;3,37
Expert 2;12:37;03:15;09:22;3,882051282;;12,62;3,25
Expert 3;16:29;03:48;12:41;4,337719298;;16,48;3,80
Expert 4;14:52;02:54;11:58;5,126436782;;14,87;2,90
Expert 5;17:33;03:17;14:16;5,345177665;;17,55;3,28
Expert 6;15:02;03:45;11:17;4,008888889;;15,03;3,75
Expert Average;15:26;03:24;12:02;4,548730549;;;
;;;;;;;
Non-Expert 1;24:37;03:39;20:58;6,744292237;;24,62;3,65
Non-Expert 2;30:12;05:14;24:58;5,770700637;;30,20;5,23
Non-Expert 3;23:42;04:12;19:30;5,642857143;;23,70;4,20
Non-Expert 4;26:56;04:05;22:51;6,595918367;;26,93;4,08
Non-Expert 5;26:19;03:51;22:28;6,835497835;;26,32;3,85
Non-Expert 6;28:39;04:17;24:22;6,688715953;;28,65;4,28
Non-Expert 7;25:08;05:02;20:06;4,993377483;;25,13;5,03
Non-Expert 8;26:02;04:31;21:31;5,763837638;;26,03;4,52
Non-Expert 9;32:17;06:08;26:09;5,263586957;;32,28;6,13
Non-Expert 10;25:21;03:59;21:22;6,364016736;;25,35;3,98
Non-Expert 11;27:38;04:58;22:40;5,563758389;;27,63;4,97
Non-Expert 12;20:41;03:27;17:14;5,995169082;;20,68;3,45
Non-Expert 13;27:55;04:33;23:22;6,135531136;;27,92;4,55
Non-Expert 14;26:59;04:31;22:28;5,974169742;;26,98;4,52
Non-Expert Average;26:36;04:28;22:08;5,963704297;;;
